Cell	Cell_Type	Gender
G4.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
H14.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O5.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J3.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A15.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K8.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
F10.MAA000561.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
L2.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
E6.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M1.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M6.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M13.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C1.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C14.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K9.MAA000563.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B12.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
F3.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D4.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B6.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
I4.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O16.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
L2.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O17.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P4.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P7.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M7.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M8.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M10.MAA000564.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
G13.MAA000578.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B5.MAA000581.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
