Cell	Cell_Type	Gender
P8.MAA000570.3_8_M.1.1	microglial_cell	M
N19.MAA000570.3_8_M.1.1	microglial_cell	M
P9.MAA000570.3_8_M.1.1	microglial_cell	M
B4.MAA000570.3_8_M.1.1	microglial_cell	M
E3.MAA000570.3_8_M.1.1	microglial_cell	M
I5.MAA000570.3_8_M.1.1	microglial_cell	M
K7.MAA000570.3_8_M.1.1	microglial_cell	M
M3.MAA000570.3_8_M.1.1	microglial_cell	M
I6.MAA000570.3_8_M.1.1	microglial_cell	M
K8.MAA000570.3_8_M.1.1	microglial_cell	M
M4.MAA000570.3_8_M.1.1	microglial_cell	M
N20.MAA000570.3_8_M.1.1	microglial_cell	M
P10.MAA000570.3_8_M.1.1	microglial_cell	M
B8.MAA000570.3_8_M.1.1	microglial_cell	M
E17.MAA000570.3_8_M.1.1	microglial_cell	M
K9.MAA000570.3_8_M.1.1	microglial_cell	M
M5.MAA000570.3_8_M.1.1	microglial_cell	M
N21.MAA000570.3_8_M.1.1	microglial_cell	M
P11.MAA000570.3_8_M.1.1	microglial_cell	M
B11.MAA000570.3_8_M.1.1	microglial_cell	M
F1.MAA000570.3_8_M.1.1	microglial_cell	M
I7.MAA000570.3_8_M.1.1	microglial_cell	M
B19.MAA000570.3_8_M.1.1	microglial_cell	M
F3.MAA000570.3_8_M.1.1	microglial_cell	M
I9.MAA000570.3_8_M.1.1	microglial_cell	M
K11.MAA000570.3_8_M.1.1	microglial_cell	M
M6.MAA000570.3_8_M.1.1	microglial_cell	M
N22.MAA000570.3_8_M.1.1	microglial_cell	M
P12.MAA000570.3_8_M.1.1	microglial_cell	M
B20.MAA000570.3_8_M.1.1	microglial_cell	M
F8.MAA000570.3_8_M.1.1	microglial_cell	M
I11.MAA000570.3_8_M.1.1	microglial_cell	M
K14.MAA000570.3_8_M.1.1	microglial_cell	M
M7.MAA000570.3_8_M.1.1	microglial_cell	M
O1.MAA000570.3_8_M.1.1	microglial_cell	M
P13.MAA000570.3_8_M.1.1	microglial_cell	M
C1.MAA000570.3_8_M.1.1	microglial_cell	M
P14.MAA000570.3_8_M.1.1	microglial_cell	M
F9.MAA000570.3_8_M.1.1	microglial_cell	M
C2.MAA000570.3_8_M.1.1	microglial_cell	M
I15.MAA000570.3_8_M.1.1	microglial_cell	M
K15.MAA000570.3_8_M.1.1	microglial_cell	M
M8.MAA000570.3_8_M.1.1	microglial_cell	M
O2.MAA000570.3_8_M.1.1	microglial_cell	M
M10.MAA000570.3_8_M.1.1	microglial_cell	M
O3.MAA000570.3_8_M.1.1	microglial_cell	M
P15.MAA000570.3_8_M.1.1	microglial_cell	M
K16.MAA000570.3_8_M.1.1	microglial_cell	M
P17.MAA000571.3_9_M.1.1	microglial_cell	M
J9.MAA000571.3_9_M.1.1	microglial_cell	M
M11.MAA000571.3_9_M.1.1	microglial_cell	M
O9.MAA000571.3_9_M.1.1	microglial_cell	M
P18.MAA000571.3_9_M.1.1	microglial_cell	M
J10.MAA000571.3_9_M.1.1	microglial_cell	M
M12.MAA000571.3_9_M.1.1	microglial_cell	M
O10.MAA000571.3_9_M.1.1	microglial_cell	M
P19.MAA000571.3_9_M.1.1	microglial_cell	M
O11.MAA000571.3_9_M.1.1	microglial_cell	M
J11.MAA000571.3_9_M.1.1	microglial_cell	M
M13.MAA000571.3_9_M.1.1	microglial_cell	M
M14.MAA000571.3_9_M.1.1	microglial_cell	M
O12.MAA000571.3_9_M.1.1	microglial_cell	M
P21.MAA000571.3_9_M.1.1	microglial_cell	M
J12.MAA000571.3_9_M.1.1	microglial_cell	M
M15.MAA000571.3_9_M.1.1	microglial_cell	M
O13.MAA000571.3_9_M.1.1	microglial_cell	M
J15.MAA000571.3_9_M.1.1	microglial_cell	M
A10.MAA000571.3_9_M.1.1	microglial_cell	M
M16.MAA000571.3_9_M.1.1	microglial_cell	M
O14.MAA000571.3_9_M.1.1	microglial_cell	M
J20.MAA000571.3_9_M.1.1	microglial_cell	M
M18.MAA000571.3_9_M.1.1	microglial_cell	M
O15.MAA000571.3_9_M.1.1	microglial_cell	M
C9.MAA000571.3_9_M.1.1	microglial_cell	M
J21.MAA000571.3_9_M.1.1	microglial_cell	M
M19.MAA000571.3_9_M.1.1	microglial_cell	M
O16.MAA000571.3_9_M.1.1	microglial_cell	M
