Cell	Cell_Type	Gender
L2.MAA000560.3_10_M.1.1	oligodendrocyte	M
P22.MAA000560.3_10_M.1.1	oligodendrocyte	M
B6.MAA000560.3_10_M.1.1	oligodendrocyte	M
C18.MAA000560.3_10_M.1.1	oligodendrocyte	M
E6.MAA000560.3_10_M.1.1	oligodendrocyte	M
F14.MAA000560.3_10_M.1.1	oligodendrocyte	M
J18.MAA000560.3_10_M.1.1	oligodendrocyte	M
M8.MAA000560.3_10_M.1.1	oligodendrocyte	M
N14.MAA000560.3_10_M.1.1	oligodendrocyte	M
O21.MAA000560.3_10_M.1.1	oligodendrocyte	M
O20.MAA000560.3_10_M.1.1	oligodendrocyte	M
E7.MAA000560.3_10_M.1.1	oligodendrocyte	M
F16.MAA000560.3_10_M.1.1	oligodendrocyte	M
H4.MAA000560.3_10_M.1.1	oligodendrocyte	M
J19.MAA000560.3_10_M.1.1	oligodendrocyte	M
L5.MAA000560.3_10_M.1.1	oligodendrocyte	M
M9.MAA000560.3_10_M.1.1	oligodendrocyte	M
C19.MAA000560.3_10_M.1.1	oligodendrocyte	M
F18.MAA000560.3_10_M.1.1	oligodendrocyte	M
H5.MAA000560.3_10_M.1.1	oligodendrocyte	M
I14.MAA000560.3_10_M.1.1	oligodendrocyte	M
J20.MAA000560.3_10_M.1.1	oligodendrocyte	M
L6.MAA000560.3_10_M.1.1	oligodendrocyte	M
M10.MAA000560.3_10_M.1.1	oligodendrocyte	M
B8.MAA000560.3_10_M.1.1	oligodendrocyte	M
C20.MAA000560.3_10_M.1.1	oligodendrocyte	M
M11.MAA000560.3_10_M.1.1	oligodendrocyte	M
P2.MAA000560.3_10_M.1.1	oligodendrocyte	M
C21.MAA000560.3_10_M.1.1	oligodendrocyte	M
B10.MAA000560.3_10_M.1.1	oligodendrocyte	M
C22.MAA000560.3_10_M.1.1	oligodendrocyte	M
E9.MAA000560.3_10_M.1.1	oligodendrocyte	M
F19.MAA000560.3_10_M.1.1	oligodendrocyte	M
H6.MAA000560.3_10_M.1.1	oligodendrocyte	M
I15.MAA000560.3_10_M.1.1	oligodendrocyte	M
J21.MAA000560.3_10_M.1.1	oligodendrocyte	M
L7.MAA000560.3_10_M.1.1	oligodendrocyte	M
E11.MAA000560.3_10_M.1.1	oligodendrocyte	M
D1.MAA000560.3_10_M.1.1	oligodendrocyte	M
E13.MAA000560.3_10_M.1.1	oligodendrocyte	M
F20.MAA000560.3_10_M.1.1	oligodendrocyte	M
F21.MAA000560.3_10_M.1.1	oligodendrocyte	M
H7.MAA000560.3_10_M.1.1	oligodendrocyte	M
I16.MAA000560.3_10_M.1.1	oligodendrocyte	M
L9.MAA000560.3_10_M.1.1	oligodendrocyte	M
M12.MAA000560.3_10_M.1.1	oligodendrocyte	M
P3.MAA000560.3_10_M.1.1	oligodendrocyte	M
I17.MAA000560.3_10_M.1.1	oligodendrocyte	M
B15.MAA000560.3_10_M.1.1	oligodendrocyte	M
E14.MAA000560.3_10_M.1.1	oligodendrocyte	M
F22.MAA000560.3_10_M.1.1	oligodendrocyte	M
K2.MAA000560.3_10_M.1.1	oligodendrocyte	M
I18.MAA000560.3_10_M.1.1	oligodendrocyte	M
L10.MAA000560.3_10_M.1.1	oligodendrocyte	M
N21.MAA000560.3_10_M.1.1	oligodendrocyte	M
M16.MAA000560.3_10_M.1.1	oligodendrocyte	M
H10.MAA000560.3_10_M.1.1	oligodendrocyte	M
I19.MAA000560.3_10_M.1.1	oligodendrocyte	M
K4.MAA000560.3_10_M.1.1	oligodendrocyte	M
L12.MAA000560.3_10_M.1.1	oligodendrocyte	M
M17.MAA000560.3_10_M.1.1	oligodendrocyte	M
N22.MAA000560.3_10_M.1.1	oligodendrocyte	M
B16.MAA000560.3_10_M.1.1	oligodendrocyte	M
B17.MAA000560.3_10_M.1.1	oligodendrocyte	M
E18.MAA000560.3_10_M.1.1	oligodendrocyte	M
G2.MAA000560.3_10_M.1.1	oligodendrocyte	M
H11.MAA000560.3_10_M.1.1	oligodendrocyte	M
A12.MAA000560.3_10_M.1.1	oligodendrocyte	M
P7.MAA000560.3_10_M.1.1	oligodendrocyte	M
I20.MAA000560.3_10_M.1.1	oligodendrocyte	M
K5.MAA000560.3_10_M.1.1	oligodendrocyte	M
L13.MAA000560.3_10_M.1.1	oligodendrocyte	M
O2.MAA000560.3_10_M.1.1	oligodendrocyte	M
I22.MAA000560.3_10_M.1.1	oligodendrocyte	M
D8.MAA000560.3_10_M.1.1	oligodendrocyte	M
O4.MAA000560.3_10_M.1.1	oligodendrocyte	M
A14.MAA000560.3_10_M.1.1	oligodendrocyte	M
J2.MAA000560.3_10_M.1.1	oligodendrocyte	M
K7.MAA000560.3_10_M.1.1	oligodendrocyte	M
D9.MAA000560.3_10_M.1.1	oligodendrocyte	M
E20.MAA000560.3_10_M.1.1	oligodendrocyte	M
M21.MAA000560.3_10_M.1.1	oligodendrocyte	M
P9.MAA000560.3_10_M.1.1	oligodendrocyte	M
E21.MAA000560.3_10_M.1.1	oligodendrocyte	M
G6.MAA000560.3_10_M.1.1	oligodendrocyte	M
H15.MAA000560.3_10_M.1.1	oligodendrocyte	M
L16.MAA000560.3_10_M.1.1	oligodendrocyte	M
M22.MAA000560.3_10_M.1.1	oligodendrocyte	M
P11.MAA000560.3_10_M.1.1	oligodendrocyte	M
F11.MAA000561.3_10_M.1.1	oligodendrocyte	M
O17.MAA000561.3_10_M.1.1	oligodendrocyte	M
D22.MAA000563.3_10_M.1.1	oligodendrocyte	M
O1.MAA000563.3_10_M.1.1	oligodendrocyte	M
O3.MAA000563.3_10_M.1.1	oligodendrocyte	M
O7.MAA000563.3_10_M.1.1	oligodendrocyte	M
L4.MAA000563.3_10_M.1.1	oligodendrocyte	M
L12.MAA000563.3_10_M.1.1	oligodendrocyte	M
E20.MAA000563.3_10_M.1.1	oligodendrocyte	M
A13.MAA000563.3_10_M.1.1	oligodendrocyte	M
F6.MAA000563.3_10_M.1.1	oligodendrocyte	M
M7.MAA000563.3_10_M.1.1	oligodendrocyte	M
F22.MAA000563.3_10_M.1.1	oligodendrocyte	M
B4.MAA000563.3_10_M.1.1	oligodendrocyte	M
G6.MAA000563.3_10_M.1.1	oligodendrocyte	M
