Cell	Cell_Type	Gender
G7.MAA000587.3_8_M.1.1	leukocyte	M
J16.MAA000587.3_8_M.1.1	leukocyte	M
J18.MAA000587.3_8_M.1.1	leukocyte	M
M22.MAA000587.3_8_M.1.1	leukocyte	M
G17.MAA000587.3_8_M.1.1	leukocyte	M
K3.MAA000587.3_8_M.1.1	leukocyte	M
B19.MAA000587.3_8_M.1.1	leukocyte	M
L19.MAA000589.3_9_M.1.1	leukocyte	M
P15.MAA000589.3_9_M.1.1	leukocyte	M
F15.MAA000589.3_9_M.1.1	leukocyte	M
F18.MAA000589.3_9_M.1.1	leukocyte	M
M11.MAA000589.3_9_M.1.1	leukocyte	M
F21.MAA000589.3_9_M.1.1	leukocyte	M
C20.MAA000589.3_9_M.1.1	leukocyte	M
G5.MAA000589.3_9_M.1.1	leukocyte	M
A20.MAA000589.3_9_M.1.1	leukocyte	M
O17.MAA000589.3_9_M.1.1	leukocyte	M
E2.MAA000589.3_9_M.1.1	leukocyte	M
K20.MAA000589.3_9_M.1.1	leukocyte	M
L4.MAA000589.3_9_M.1.1	leukocyte	M
E13.MAA000589.3_9_M.1.1	leukocyte	M
N11.MAA000898.3_11_M.1.1	leukocyte	M
P15.MAA000898.3_11_M.1.1	leukocyte	M
P18.MAA000898.3_11_M.1.1	leukocyte	M
P2.MAA000899.3_10_M.1.1	leukocyte	M
A9.MAA000899.3_10_M.1.1	leukocyte	M
N12.MAA000899.3_10_M.1.1	leukocyte	M
F22.MAA000899.3_10_M.1.1	leukocyte	M
P16.MAA000899.3_10_M.1.1	leukocyte	M
O5.MAA000899.3_10_M.1.1	leukocyte	M
I21.MAA000899.3_10_M.1.1	leukocyte	M
I22.MAA000899.3_10_M.1.1	leukocyte	M
P12.MAA000901.3_10_M.1.1	leukocyte	M
F11.MAA000901.3_10_M.1.1	leukocyte	M
I15.MAA000901.3_10_M.1.1	leukocyte	M
N2.MAA000901.3_10_M.1.1	leukocyte	M
F16.MAA000901.3_10_M.1.1	leukocyte	M
J3.MAA000901.3_10_M.1.1	leukocyte	M
J4.MAA000901.3_10_M.1.1	leukocyte	M
L11.MAA000901.3_10_M.1.1	leukocyte	M
J9.MAA000901.3_10_M.1.1	leukocyte	M
O17.MAA000901.3_10_M.1.1	leukocyte	M
