Cell	Cell_Type	Gender
P5.MAA000400.3_8_M.1.1	fibroblast	M
D22.MAA000400.3_8_M.1.1	fibroblast	M
H4.MAA000400.3_8_M.1.1	fibroblast	M
K18.MAA000400.3_8_M.1.1	fibroblast	M
M9.MAA000400.3_8_M.1.1	fibroblast	M
E1.MAA000400.3_8_M.1.1	fibroblast	M
H5.MAA000400.3_8_M.1.1	fibroblast	M
B12.MAA000400.3_8_M.1.1	fibroblast	M
M10.MAA000400.3_8_M.1.1	fibroblast	M
N19.MAA000400.3_8_M.1.1	fibroblast	M
K22.MAA000400.3_8_M.1.1	fibroblast	M
N20.MAA000400.3_8_M.1.1	fibroblast	M
B14.MAA000400.3_8_M.1.1	fibroblast	M
E2.MAA000400.3_8_M.1.1	fibroblast	M
P7.MAA000400.3_8_M.1.1	fibroblast	M
I1.MAA000400.3_8_M.1.1	fibroblast	M
M13.MAA000400.3_8_M.1.1	fibroblast	M
B20.MAA000400.3_8_M.1.1	fibroblast	M
L2.MAA000400.3_8_M.1.1	fibroblast	M
M14.MAA000400.3_8_M.1.1	fibroblast	M
P10.MAA000400.3_8_M.1.1	fibroblast	M
I4.MAA000400.3_8_M.1.1	fibroblast	M
B21.MAA000400.3_8_M.1.1	fibroblast	M
I5.MAA000400.3_8_M.1.1	fibroblast	M
M15.MAA000400.3_8_M.1.1	fibroblast	M
M16.MAA000400.3_8_M.1.1	fibroblast	M
B22.MAA000400.3_8_M.1.1	fibroblast	M
E19.MAA000400.3_8_M.1.1	fibroblast	M
P12.MAA000400.3_8_M.1.1	fibroblast	M
I21.MAA000400.3_8_M.1.1	fibroblast	M
C1.MAA000400.3_8_M.1.1	fibroblast	M
E22.MAA000400.3_8_M.1.1	fibroblast	M
L7.MAA000400.3_8_M.1.1	fibroblast	M
I22.MAA000400.3_8_M.1.1	fibroblast	M
M19.MAA000400.3_8_M.1.1	fibroblast	M
M18.MAA000400.3_8_M.1.1	fibroblast	M
O3.MAA000400.3_8_M.1.1	fibroblast	M
J1.MAA000400.3_8_M.1.1	fibroblast	M
O8.MAA000400.3_8_M.1.1	fibroblast	M
J4.MAA000400.3_8_M.1.1	fibroblast	M
C3.MAA000400.3_8_M.1.1	fibroblast	M
M21.MAA000400.3_8_M.1.1	fibroblast	M
O12.MAA000400.3_8_M.1.1	fibroblast	M
J5.MAA000400.3_8_M.1.1	fibroblast	M
M22.MAA000400.3_8_M.1.1	fibroblast	M
O13.MAA000400.3_8_M.1.1	fibroblast	M
P19.MAA000400.3_8_M.1.1	fibroblast	M
A3.MAA000400.3_8_M.1.1	fibroblast	M
A4.MAA000400.3_8_M.1.1	fibroblast	M
L17.MAA000400.3_8_M.1.1	fibroblast	M
N1.MAA000400.3_8_M.1.1	fibroblast	M
O14.MAA000400.3_8_M.1.1	fibroblast	M
P20.MAA000400.3_8_M.1.1	fibroblast	M
C15.MAA000400.3_8_M.1.1	fibroblast	M
F21.MAA000400.3_8_M.1.1	fibroblast	M
A5.MAA000400.3_8_M.1.1	fibroblast	M
L18.MAA000400.3_8_M.1.1	fibroblast	M
O15.MAA000400.3_8_M.1.1	fibroblast	M
C16.MAA000400.3_8_M.1.1	fibroblast	M
N4.MAA000400.3_8_M.1.1	fibroblast	M
O16.MAA000400.3_8_M.1.1	fibroblast	M
P22.MAA000400.3_8_M.1.1	fibroblast	M
J21.MAA000400.3_8_M.1.1	fibroblast	M
N7.MAA000400.3_8_M.1.1	fibroblast	M
O17.MAA000400.3_8_M.1.1	fibroblast	M
A6.MAA000400.3_8_M.1.1	fibroblast	M
C17.MAA000400.3_8_M.1.1	fibroblast	M
C18.MAA000400.3_8_M.1.1	fibroblast	M
G2.MAA000400.3_8_M.1.1	fibroblast	M
L21.MAA000400.3_8_M.1.1	fibroblast	M
N8.MAA000400.3_8_M.1.1	fibroblast	M
O18.MAA000400.3_8_M.1.1	fibroblast	M
A13.MAA000400.3_8_M.1.1	fibroblast	M
C21.MAA000400.3_8_M.1.1	fibroblast	M
G3.MAA000400.3_8_M.1.1	fibroblast	M
A14.MAA000400.3_8_M.1.1	fibroblast	M
K4.MAA000400.3_8_M.1.1	fibroblast	M
N10.MAA000400.3_8_M.1.1	fibroblast	M
O20.MAA000400.3_8_M.1.1	fibroblast	M
K5.MAA000400.3_8_M.1.1	fibroblast	M
K7.MAA000400.3_8_M.1.1	fibroblast	M
M3.MAA000400.3_8_M.1.1	fibroblast	M
N12.MAA000400.3_8_M.1.1	fibroblast	M
O22.MAA000400.3_8_M.1.1	fibroblast	M
A21.MAA000400.3_8_M.1.1	fibroblast	M
G18.MAA000400.3_8_M.1.1	fibroblast	M
D2.MAA000400.3_8_M.1.1	fibroblast	M
G20.MAA000400.3_8_M.1.1	fibroblast	M
K8.MAA000400.3_8_M.1.1	fibroblast	M
P1.MAA000400.3_8_M.1.1	fibroblast	M
D5.MAA000452.3_8_M.1.1	fibroblast	M
E21.MAA000452.3_8_M.1.1	fibroblast	M
B12.MAA000452.3_8_M.1.1	fibroblast	M
K17.MAA000452.3_8_M.1.1	fibroblast	M
K18.MAA000452.3_8_M.1.1	fibroblast	M
I21.MAA000452.3_8_M.1.1	fibroblast	M
D10.MAA000452.3_8_M.1.1	fibroblast	M
B19.MAA000452.3_8_M.1.1	fibroblast	M
K22.MAA000452.3_8_M.1.1	fibroblast	M
C2.MAA000452.3_8_M.1.1	fibroblast	M
D17.MAA000452.3_8_M.1.1	fibroblast	M
H13.MAA000452.3_8_M.1.1	fibroblast	M
D20.MAA000452.3_8_M.1.1	fibroblast	M
L9.MAA000452.3_8_M.1.1	fibroblast	M
F19.MAA000452.3_8_M.1.1	fibroblast	M
L10.MAA000452.3_8_M.1.1	fibroblast	M
C10.MAA000452.3_8_M.1.1	fibroblast	M
F21.MAA000452.3_8_M.1.1	fibroblast	M
J14.MAA000452.3_8_M.1.1	fibroblast	M
L12.MAA000452.3_8_M.1.1	fibroblast	M
H21.MAA000452.3_8_M.1.1	fibroblast	M
C14.MAA000452.3_8_M.1.1	fibroblast	M
E2.MAA000452.3_8_M.1.1	fibroblast	M
H22.MAA000452.3_8_M.1.1	fibroblast	M
G3.MAA000452.3_8_M.1.1	fibroblast	M
E3.MAA000452.3_8_M.1.1	fibroblast	M
G7.MAA000452.3_8_M.1.1	fibroblast	M
E5.MAA000452.3_8_M.1.1	fibroblast	M
L17.MAA000452.3_8_M.1.1	fibroblast	M
L18.MAA000452.3_8_M.1.1	fibroblast	M
E8.MAA000452.3_8_M.1.1	fibroblast	M
K1.MAA000452.3_8_M.1.1	fibroblast	M
G14.MAA000452.3_8_M.1.1	fibroblast	M
K5.MAA000452.3_8_M.1.1	fibroblast	M
I12.MAA000452.3_8_M.1.1	fibroblast	M
K8.MAA000452.3_8_M.1.1	fibroblast	M
M5.MAA000452.3_8_M.1.1	fibroblast	M
G19.MAA000452.3_8_M.1.1	fibroblast	M
O20.MAA000452.3_8_M.1.1	fibroblast	M
O22.MAA000452.3_8_M.1.1	fibroblast	M
P5.MAA000452.3_8_M.1.1	fibroblast	M
N1.MAA000452.3_8_M.1.1	fibroblast	M
P14.MAA000452.3_8_M.1.1	fibroblast	M
N2.MAA000452.3_8_M.1.1	fibroblast	M
P19.MAA000452.3_8_M.1.1	fibroblast	M
N11.MAA000452.3_8_M.1.1	fibroblast	M
O5.MAA000452.3_8_M.1.1	fibroblast	M
O7.MAA000452.3_8_M.1.1	fibroblast	M
O19.MAA000452.3_8_M.1.1	fibroblast	M
B20.MAA000586.3_8_M.1.1	fibroblast	M
D7.MAA000586.3_8_M.1.1	fibroblast	M
H1.MAA000586.3_8_M.1.1	fibroblast	M
A3.MAA000586.3_8_M.1.1	fibroblast	M
D10.MAA000586.3_8_M.1.1	fibroblast	M
I19.MAA000586.3_8_M.1.1	fibroblast	M
M14.MAA000586.3_8_M.1.1	fibroblast	M
O4.MAA000586.3_8_M.1.1	fibroblast	M
M13.MAA000586.3_8_M.1.1	fibroblast	M
P14.MAA000586.3_8_M.1.1	fibroblast	M
F14.MAA000586.3_8_M.1.1	fibroblast	M
H4.MAA000586.3_8_M.1.1	fibroblast	M
I20.MAA000586.3_8_M.1.1	fibroblast	M
M15.MAA000586.3_8_M.1.1	fibroblast	M
B22.MAA000586.3_8_M.1.1	fibroblast	M
C1.MAA000586.3_8_M.1.1	fibroblast	M
D14.MAA000586.3_8_M.1.1	fibroblast	M
H6.MAA000586.3_8_M.1.1	fibroblast	M
D18.MAA000586.3_8_M.1.1	fibroblast	M
K19.MAA000586.3_8_M.1.1	fibroblast	M
O7.MAA000586.3_8_M.1.1	fibroblast	M
A8.MAA000586.3_8_M.1.1	fibroblast	M
D19.MAA000586.3_8_M.1.1	fibroblast	M
O9.MAA000586.3_8_M.1.1	fibroblast	M
A10.MAA000586.3_8_M.1.1	fibroblast	M
H11.MAA000586.3_8_M.1.1	fibroblast	M
C4.MAA000586.3_8_M.1.1	fibroblast	M
J4.MAA000586.3_8_M.1.1	fibroblast	M
K21.MAA000586.3_8_M.1.1	fibroblast	M
O11.MAA000586.3_8_M.1.1	fibroblast	M
A11.MAA000586.3_8_M.1.1	fibroblast	M
C6.MAA000586.3_8_M.1.1	fibroblast	M
D21.MAA000586.3_8_M.1.1	fibroblast	M
O13.MAA000586.3_8_M.1.1	fibroblast	M
F21.MAA000586.3_8_M.1.1	fibroblast	M
H12.MAA000586.3_8_M.1.1	fibroblast	M
O15.MAA000586.3_8_M.1.1	fibroblast	M
G1.MAA000586.3_8_M.1.1	fibroblast	M
H13.MAA000586.3_8_M.1.1	fibroblast	M
A15.MAA000586.3_8_M.1.1	fibroblast	M
H15.MAA000586.3_8_M.1.1	fibroblast	M
L11.MAA000586.3_8_M.1.1	fibroblast	M
N2.MAA000586.3_8_M.1.1	fibroblast	M
O17.MAA000586.3_8_M.1.1	fibroblast	M
C9.MAA000586.3_8_M.1.1	fibroblast	M
J17.MAA000586.3_8_M.1.1	fibroblast	M
L12.MAA000586.3_8_M.1.1	fibroblast	M
N3.MAA000586.3_8_M.1.1	fibroblast	M
O19.MAA000586.3_8_M.1.1	fibroblast	M
E4.MAA000586.3_8_M.1.1	fibroblast	M
H17.MAA000586.3_8_M.1.1	fibroblast	M
C12.MAA000586.3_8_M.1.1	fibroblast	M
G7.MAA000586.3_8_M.1.1	fibroblast	M
H19.MAA000586.3_8_M.1.1	fibroblast	M
L13.MAA000586.3_8_M.1.1	fibroblast	M
N5.MAA000586.3_8_M.1.1	fibroblast	M
J19.MAA000586.3_8_M.1.1	fibroblast	M
L16.MAA000586.3_8_M.1.1	fibroblast	M
N6.MAA000586.3_8_M.1.1	fibroblast	M
E6.MAA000586.3_8_M.1.1	fibroblast	M
H20.MAA000586.3_8_M.1.1	fibroblast	M
J20.MAA000586.3_8_M.1.1	fibroblast	M
L17.MAA000586.3_8_M.1.1	fibroblast	M
H21.MAA000586.3_8_M.1.1	fibroblast	M
J21.MAA000586.3_8_M.1.1	fibroblast	M
P2.MAA000586.3_8_M.1.1	fibroblast	M
B1.MAA000586.3_8_M.1.1	fibroblast	M
E7.MAA000586.3_8_M.1.1	fibroblast	M
B2.MAA000586.3_8_M.1.1	fibroblast	M
E9.MAA000586.3_8_M.1.1	fibroblast	M
G10.MAA000586.3_8_M.1.1	fibroblast	M
I3.MAA000586.3_8_M.1.1	fibroblast	M
N9.MAA000586.3_8_M.1.1	fibroblast	M
C18.MAA000586.3_8_M.1.1	fibroblast	M
E12.MAA000586.3_8_M.1.1	fibroblast	M
G11.MAA000586.3_8_M.1.1	fibroblast	M
I4.MAA000586.3_8_M.1.1	fibroblast	M
C19.MAA000586.3_8_M.1.1	fibroblast	M
E13.MAA000586.3_8_M.1.1	fibroblast	M
G12.MAA000586.3_8_M.1.1	fibroblast	M
I5.MAA000586.3_8_M.1.1	fibroblast	M
L22.MAA000586.3_8_M.1.1	fibroblast	M
N12.MAA000586.3_8_M.1.1	fibroblast	M
M2.MAA000586.3_8_M.1.1	fibroblast	M
N15.MAA000586.3_8_M.1.1	fibroblast	M
P7.MAA000586.3_8_M.1.1	fibroblast	M
E14.MAA000586.3_8_M.1.1	fibroblast	M
G14.MAA000586.3_8_M.1.1	fibroblast	M
I6.MAA000586.3_8_M.1.1	fibroblast	M
E15.MAA000586.3_8_M.1.1	fibroblast	M
M3.MAA000586.3_8_M.1.1	fibroblast	M
B12.MAA000586.3_8_M.1.1	fibroblast	M
D1.MAA000586.3_8_M.1.1	fibroblast	M
E19.MAA000586.3_8_M.1.1	fibroblast	M
I11.MAA000586.3_8_M.1.1	fibroblast	M
M5.MAA000586.3_8_M.1.1	fibroblast	M
P9.MAA000586.3_8_M.1.1	fibroblast	M
I12.MAA000586.3_8_M.1.1	fibroblast	M
K11.MAA000586.3_8_M.1.1	fibroblast	M
B15.MAA000586.3_8_M.1.1	fibroblast	M
D5.MAA000586.3_8_M.1.1	fibroblast	M
I13.MAA000586.3_8_M.1.1	fibroblast	M
K12.MAA000586.3_8_M.1.1	fibroblast	M
M10.MAA000586.3_8_M.1.1	fibroblast	M
F6.MAA000586.3_8_M.1.1	fibroblast	M
G22.MAA000586.3_8_M.1.1	fibroblast	M
I15.MAA000586.3_8_M.1.1	fibroblast	M
H2.MAA000587.3_8_M.1.1	fibroblast	M
K9.MAA000587.3_8_M.1.1	fibroblast	M
H3.MAA000587.3_8_M.1.1	fibroblast	M
E6.MAA000587.3_8_M.1.1	fibroblast	M
H4.MAA000587.3_8_M.1.1	fibroblast	M
K15.MAA000587.3_8_M.1.1	fibroblast	M
C2.MAA000587.3_8_M.1.1	fibroblast	M
E11.MAA000587.3_8_M.1.1	fibroblast	M
K19.MAA000587.3_8_M.1.1	fibroblast	M
E14.MAA000587.3_8_M.1.1	fibroblast	M
H21.MAA000587.3_8_M.1.1	fibroblast	M
I8.MAA000587.3_8_M.1.1	fibroblast	M
O3.MAA000587.3_8_M.1.1	fibroblast	M
L5.MAA000587.3_8_M.1.1	fibroblast	M
J6.MAA000587.3_8_M.1.1	fibroblast	M
O12.MAA000587.3_8_M.1.1	fibroblast	M
J10.MAA000587.3_8_M.1.1	fibroblast	M
J17.MAA000587.3_8_M.1.1	fibroblast	M
O16.MAA000587.3_8_M.1.1	fibroblast	M
O17.MAA000587.3_8_M.1.1	fibroblast	M
O21.MAA000587.3_8_M.1.1	fibroblast	M
B11.MAA000587.3_8_M.1.1	fibroblast	M
N2.MAA000587.3_8_M.1.1	fibroblast	M
P11.MAA000589.3_9_M.1.1	fibroblast	M
M2.MAA000589.3_9_M.1.1	fibroblast	M
P12.MAA000589.3_9_M.1.1	fibroblast	M
J6.MAA000589.3_9_M.1.1	fibroblast	M
J15.MAA000589.3_9_M.1.1	fibroblast	M
F22.MAA000589.3_9_M.1.1	fibroblast	M
J18.MAA000589.3_9_M.1.1	fibroblast	M
N5.MAA000589.3_9_M.1.1	fibroblast	M
G3.MAA000589.3_9_M.1.1	fibroblast	M
J20.MAA000589.3_9_M.1.1	fibroblast	M
N21.MAA000589.3_9_M.1.1	fibroblast	M
C21.MAA000589.3_9_M.1.1	fibroblast	M
A4.MAA000589.3_9_M.1.1	fibroblast	M
D2.MAA000589.3_9_M.1.1	fibroblast	M
G12.MAA000589.3_9_M.1.1	fibroblast	M
K15.MAA000589.3_9_M.1.1	fibroblast	M
H9.MAA000589.3_9_M.1.1	fibroblast	M
O18.MAA000589.3_9_M.1.1	fibroblast	M
E1.MAA000589.3_9_M.1.1	fibroblast	M
H12.MAA000589.3_9_M.1.1	fibroblast	M
B2.MAA000589.3_9_M.1.1	fibroblast	M
E5.MAA000589.3_9_M.1.1	fibroblast	M
H17.MAA000589.3_9_M.1.1	fibroblast	M
L3.MAA000589.3_9_M.1.1	fibroblast	M
E10.MAA000589.3_9_M.1.1	fibroblast	M
I6.MAA000589.3_9_M.1.1	fibroblast	M
I13.MAA000589.3_9_M.1.1	fibroblast	M
L12.MAA000589.3_9_M.1.1	fibroblast	M
P10.MAA000898.3_11_M.1.1	fibroblast	M
L4.MAA000898.3_11_M.1.1	fibroblast	M
L8.MAA000898.3_11_M.1.1	fibroblast	M
C1.MAA000898.3_11_M.1.1	fibroblast	M
O12.MAA000898.3_11_M.1.1	fibroblast	M
K3.MAA000899.3_10_M.1.1	fibroblast	M
O14.MAA000899.3_10_M.1.1	fibroblast	M
K12.MAA000899.3_10_M.1.1	fibroblast	M
L1.MAA000899.3_10_M.1.1	fibroblast	M
L7.MAA000899.3_10_M.1.1	fibroblast	M
O17.MAA000899.3_10_M.1.1	fibroblast	M
L14.MAA000899.3_10_M.1.1	fibroblast	M
L22.MAA000899.3_10_M.1.1	fibroblast	M
M14.MAA000899.3_10_M.1.1	fibroblast	M
A1.MAA000899.3_10_M.1.1	fibroblast	M
N2.MAA000899.3_10_M.1.1	fibroblast	M
A22.MAA000899.3_10_M.1.1	fibroblast	M
D8.MAA000899.3_10_M.1.1	fibroblast	M
