Cell	Cell_Type	Gender
O1.MAA000400.3_8_M.1.1	endothelial_cell	M
P11.MAA000400.3_8_M.1.1	endothelial_cell	M
C2.MAA000400.3_8_M.1.1	endothelial_cell	M
M20.MAA000400.3_8_M.1.1	endothelial_cell	M
J16.MAA000400.3_8_M.1.1	endothelial_cell	M
G1.MAA000400.3_8_M.1.1	endothelial_cell	M
K3.MAA000400.3_8_M.1.1	endothelial_cell	M
O21.MAA000400.3_8_M.1.1	endothelial_cell	M
C22.MAA000400.3_8_M.1.1	endothelial_cell	M
G5.MAA000400.3_8_M.1.1	endothelial_cell	M
G20.MAA000452.3_8_M.1.1	endothelial_cell	M
I17.MAA000452.3_8_M.1.1	endothelial_cell	M
K16.MAA000452.3_8_M.1.1	endothelial_cell	M
M9.MAA000452.3_8_M.1.1	endothelial_cell	M
F1.MAA000452.3_8_M.1.1	endothelial_cell	M
I18.MAA000452.3_8_M.1.1	endothelial_cell	M
B13.MAA000452.3_8_M.1.1	endothelial_cell	M
M14.MAA000452.3_8_M.1.1	endothelial_cell	M
I19.MAA000452.3_8_M.1.1	endothelial_cell	M
H2.MAA000452.3_8_M.1.1	endothelial_cell	M
B15.MAA000452.3_8_M.1.1	endothelial_cell	M
K19.MAA000452.3_8_M.1.1	endothelial_cell	M
M15.MAA000452.3_8_M.1.1	endothelial_cell	M
I22.MAA000452.3_8_M.1.1	endothelial_cell	M
F8.MAA000452.3_8_M.1.1	endothelial_cell	M
H5.MAA000452.3_8_M.1.1	endothelial_cell	M
H7.MAA000452.3_8_M.1.1	endothelial_cell	M
J2.MAA000452.3_8_M.1.1	endothelial_cell	M
D13.MAA000452.3_8_M.1.1	endothelial_cell	M
D14.MAA000452.3_8_M.1.1	endothelial_cell	M
F12.MAA000452.3_8_M.1.1	endothelial_cell	M
H10.MAA000452.3_8_M.1.1	endothelial_cell	M
J4.MAA000452.3_8_M.1.1	endothelial_cell	M
L3.MAA000452.3_8_M.1.1	endothelial_cell	M
D15.MAA000452.3_8_M.1.1	endothelial_cell	M
F13.MAA000452.3_8_M.1.1	endothelial_cell	M
H11.MAA000452.3_8_M.1.1	endothelial_cell	M
L4.MAA000452.3_8_M.1.1	endothelial_cell	M
C3.MAA000452.3_8_M.1.1	endothelial_cell	M
J6.MAA000452.3_8_M.1.1	endothelial_cell	M
L5.MAA000452.3_8_M.1.1	endothelial_cell	M
C5.MAA000452.3_8_M.1.1	endothelial_cell	M
D18.MAA000452.3_8_M.1.1	endothelial_cell	M
J8.MAA000452.3_8_M.1.1	endothelial_cell	M
L6.MAA000452.3_8_M.1.1	endothelial_cell	M
F18.MAA000452.3_8_M.1.1	endothelial_cell	M
H14.MAA000452.3_8_M.1.1	endothelial_cell	M
J10.MAA000452.3_8_M.1.1	endothelial_cell	M
C7.MAA000452.3_8_M.1.1	endothelial_cell	M
D21.MAA000452.3_8_M.1.1	endothelial_cell	M
H15.MAA000452.3_8_M.1.1	endothelial_cell	M
J13.MAA000452.3_8_M.1.1	endothelial_cell	M
C8.MAA000452.3_8_M.1.1	endothelial_cell	M
D22.MAA000452.3_8_M.1.1	endothelial_cell	M
C13.MAA000452.3_8_M.1.1	endothelial_cell	M
E1.MAA000452.3_8_M.1.1	endothelial_cell	M
L13.MAA000452.3_8_M.1.1	endothelial_cell	M
J17.MAA000452.3_8_M.1.1	endothelial_cell	M
L14.MAA000452.3_8_M.1.1	endothelial_cell	M
G6.MAA000452.3_8_M.1.1	endothelial_cell	M
I3.MAA000452.3_8_M.1.1	endothelial_cell	M
C18.MAA000452.3_8_M.1.1	endothelial_cell	M
I4.MAA000452.3_8_M.1.1	endothelial_cell	M
L16.MAA000452.3_8_M.1.1	endothelial_cell	M
C19.MAA000452.3_8_M.1.1	endothelial_cell	M
G8.MAA000452.3_8_M.1.1	endothelial_cell	M
I5.MAA000452.3_8_M.1.1	endothelial_cell	M
C20.MAA000452.3_8_M.1.1	endothelial_cell	M
G9.MAA000452.3_8_M.1.1	endothelial_cell	M
G12.MAA000452.3_8_M.1.1	endothelial_cell	M
I7.MAA000452.3_8_M.1.1	endothelial_cell	M
