Cell	Cell_Type	Gender
F1.MAA100096.3_38_F.1.1	cardiac_muscle_cell	F
F2.MAA100096.3_38_F.1.1	cardiac_muscle_cell	F
F5.MAA100096.3_39_F.1.1	cardiac_muscle_cell	F
C3.MAA100096.3_38_F.1.1	cardiac_muscle_cell	F
F6.MAA100096.3_39_F.1.1	cardiac_muscle_cell	F
H1.MAA100096.3_38_F.1.1	cardiac_muscle_cell	F
C5.MAA100096.3_39_F.1.1	cardiac_muscle_cell	F
H5.MAA100096.3_39_F.1.1	cardiac_muscle_cell	F
C1.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
H1.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
F5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
H3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
H5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
C5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
C8.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
B4.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
E5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
G1.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
C3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
C4.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
C7.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
E1.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
H7.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
B2.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
E3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
B3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
B5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
B6.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
E7.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
G3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
G5.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
G7.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
D2.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
D3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
A8.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
D7.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
F3.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
D6.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
F1.MAA100097.3_38_F.1.1	cardiac_muscle_cell	F
D8.MAA100097.3_39_F.1.1	cardiac_muscle_cell	F
